epsilon,outlier_y,mds_summary,posterior_kl,kl_over_epsilon
0.01,-12.6,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-12.5,-1.08036871826e-08,5.82142926386e-15,5.82142926386e-13
0.01,-12.4,1.08036872937e-08,5.82142938351e-15,5.82142938351e-13
0.01,-12.3,1.08036872937e-08,5.82142938351e-15,5.82142938351e-13
0.01,-12.2,-1.08036876267e-08,5.82142974244e-15,5.82142974244e-13
0.01,-12.1,1.08036866275e-08,5.82142866563e-15,5.82142866563e-13
0.01,-12,1.08036859614e-08,5.82142794776e-15,5.82142794776e-13
0.01,-11.9,1.08036847402e-08,5.82142663165e-15,5.82142663165e-13
0.01,-11.8,1.08036828528e-08,5.82142459767e-15,5.82142459767e-13
0.01,-11.7,1.08036793001e-08,5.821420769e-15,5.821420769e-13
0.01,-11.6,1.08036733049e-08,5.82141430813e-15,5.82141430813e-13
0.01,-11.5,1.08036635349e-08,5.82140377931e-15,5.82140377931e-13
0.01,-11.4,1.08036468815e-08,5.82138583248e-15,5.82138583248e-13
0.01,-11.3,1.0803619015e-08,5.82135580151e-15,5.82135580151e-13
0.01,-11.2,1.080357361e-08,5.82130687014e-15,5.82130687014e-13
0.01,-11.1,1.0803520129e-08,5.82124923585e-15,5.82124923585e-13
0.01,-11,1.08034320387e-08,5.82115430503e-15,5.82115430503e-13
0.01,-10.9,-4.78222404766e-13,1.14063176269e-23,1.14063176269e-21
0.01,-10.8,-8.12796939319e-13,3.2949569305e-23,3.2949569305e-21
0.01,-10.7,-1.35597249448e-12,9.17038107618e-23,9.17038107618e-21
0.01,-10.6,-2.2324763383e-12,2.48576089828e-22,2.48576089828e-20
0.01,-10.5,-3.6380913929e-12,6.60135111378e-22,6.60135111378e-20
0.01,-10.4,-5.88165145373e-12,1.72537774679e-21,1.72537774679e-19
0.01,-10.3,-9.44245058484e-12,4.4468764612e-21,4.4468764612e-19
0.01,-10.2,-1.50654304871e-11,1.13200596389e-20,1.13200596389e-18
0.01,-10.1,-2.38996514085e-11,2.84884457581e-20,2.84884457581e-18
0.01,-10,-3.77071262312e-11,7.09140832229e-20,7.09140832229e-18
0.01,-9.9,-5.91788942676e-11,1.74670400336e-19,1.74670400336e-17
0.01,-9.8,-9.23986560162e-11,4.25811054045e-19,4.25811054045e-17
0.01,-9.7,-1.43530670514e-10,1.02748395902e-18,1.02748395902e-16
0.01,-9.6,-2.21799267864e-10,2.45361173192e-18,2.45361173192e-16
0.01,-9.5,-3.41093913696e-10,5.80274603292e-18,5.80274603292e-16
0.01,-9.4,-5.21912698069e-10,1.35856790227e-17,1.35856790227e-15
0.01,-9.3,-7.94580990893e-10,3.14892244932e-17,3.14892244932e-15
0.01,-9.2,-1.20365036328e-09,7.22580646898e-17,7.22580646898e-15
0.01,-9.1,-1.81420138121e-09,1.64155942722e-16,1.64155942722e-14
0.01,-9,-2.72079323244e-09,3.69212758787e-16,3.69212758787e-14
0.01,-8.9,-4.06001818464e-09,8.22132052849e-16,8.22132052849e-14
0.01,-8.8,-6.02825736131e-09,1.81246318275e-15,1.81246318275e-13
0.01,-8.7,-8.90598907278e-09,3.9559422127e-15,3.9559422127e-13
0.01,-8.6,-1.30918040281e-08,8.54839564637e-15,8.54839564637e-13
0.01,-8.5,-1.33896441991e-08,8.94177415356e-15,8.94177415356e-13
0.01,-8.4,-2.78685655565e-08,3.87360072906e-14,3.87360072906e-12
0.01,-8.3,5.05108567417e-09,1.27249209415e-15,1.27249209415e-13
0.01,-8.2,-1.35477602833e-08,9.15420492238e-15,9.15420492238e-13
0.01,-8.1,-3.39015599671e-09,5.73224822045e-16,5.73224822045e-14
0.01,-8,-9.74861917155e-09,4.73992896518e-15,4.73992896518e-13
0.01,-7.9,-1.63920325824e-08,1.34014330265e-14,1.34014330265e-12
0.01,-7.8,-1.19318888812e-08,7.10074674677e-15,7.10074674677e-13
0.01,-7.7,-4.45654278906e-08,9.90562275848e-14,9.90562275848e-12
0.01,-7.6,-6.91226837953e-08,2.38301516961e-13,2.38301516961e-11
0.01,-7.5,-1.09826590228e-07,6.01590020997e-13,6.01590020997e-11
0.01,-7.4,-1.50696626629e-07,1.13264205872e-12,1.13264205872e-10
0.01,-7.3,-2.14445212586e-07,2.29360345142e-12,2.29360345142e-10
0.01,-7.2,-3.1339694192e-07,4.89863557132e-12,4.89863557132e-10
0.01,-7.1,-4.44268274091e-07,9.84410470642e-12,9.84410470642e-10
0.01,-7,-5.96969885412e-07,1.77742166628e-11,1.77742166628e-09
0.01,-6.9,-8.68214225967e-07,3.75958075896e-11,3.75958075896e-09
0.01,-6.8,-1.20324150498e-06,7.22089835066e-11,7.22089835066e-09
0.01,-6.7,-1.667381323e-06,1.38661370389e-10,1.38661370389e-08
0.01,-6.6,-2.28316156626e-06,2.59991358486e-10,2.59991358486e-08
0.01,-6.5,-3.12019772592e-06,4.85567773008e-10,4.85567773008e-08
0.01,-6.4,-4.24163602358e-06,8.97330481622e-10,8.97330481622e-08
0.01,-6.3,-5.73457020247e-06,1.64016435946e-09,1.64016435946e-07
0.01,-6.2,-7.71494966236e-06,2.96860091236e-09,2.96860091236e-07
0.01,-6.1,-1.03064739709e-05,5.29792547197e-09,5.29792547197e-07
0.01,-6,-1.37409659193e-05,9.41716430904e-09,9.41716430904e-07
0.01,-5.9,-1.81940994819e-05,1.65099878284e-08,1.65099878284e-06
0.01,-5.8,-2.39483656648e-05,2.8604699153e-08,2.8604699153e-06
0.01,-5.7,-3.14082976138e-05,4.92010553115e-08,4.92010553115e-06
0.01,-5.6,-4.09001328374e-05,8.34324621503e-08,8.34324621503e-06
0.01,-5.5,-5.30346684119e-05,1.40283094941e-07,1.40283094941e-05
0.01,-5.4,-6.83853937016e-05,2.33244991108e-07,2.33244991108e-05
0.01,-5.3,-8.77078155006e-05,3.83673860344e-07,3.83673860344e-05
0.01,-5.2,-0.000111890030844,6.24407930291e-07,6.24407930291e-05
0.01,-5.1,-0.000141976675467,1.00535543026e-06,0.000100535543026
0.01,-5,-0.000179187953342,1.60141259964e-06,0.000160141259964
0.01,-4.9,-0.000224942709133,2.52365198963e-06,0.000252365198963
0.01,-4.8,-0.000280860909383,3.93430675408e-06,0.000393430675408
0.01,-4.7,-0.000348765429993,6.06669950915e-06,0.000606669950915
0.01,-4.6,-0.00043075596556,9.25439909554e-06,0.000925439909554
0.01,-4.5,-0.000529136538986,1.39643629371e-05,0.00139643629371
0.01,-4.4,-0.000646435691151,2.08418505134e-05,0.00208418505134
0.01,-4.3,-0.000785412662676,3.07667356954e-05,0.00307667356954
0.01,-4.2,-0.00094903020911,4.49206153518e-05,0.00449206153518
0.01,-4.1,-0.00114040060202,6.48635178601e-05,0.00648635178601
0.01,-4,-0.00136278349467,9.26273742312e-05,0.00926273742312
0.01,-3.9,-0.00161939378388,0.000130794824302,0.0130794824302
